Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E,
99,0,490.947,-0.06255726,-0.7873334,-0.3599087,56.07256,-168.3958,-88.52767,93.33142,0.249446,-1.084803,0.249446,-0.0656106,0.8388367,0.1239929,0.8650193,1.443607,1.374728,0.05934703,
100,0,490.972,-0.07132626,-0.7903101,-0.3758652,57.0039,-168.1346,-88.53328,93.3495,0.2712421,-1.063489,0.2712421,-0.0656106,0.8515625,0.1266479,0.8731248,1.452661,1.415269,0.07661668,
101,0,490.997,-0.07912937,-0.7900625,-0.3810355,57.5642,-168.942,-88.53522,93.36349,0.2853053,-1.036465,0.2853053,-0.06852804,0.8604736,0.1159363,0.872228,1.459917,1.462596,0.09487279,
102,0,491.022,-0.08392937,-0.7898148,-0.3921704,58.48412,-169.9323,-88.5466,93.37924,0.2914124,-1.017026,0.2914124,-0.06852804,0.8624878,0.09793091,0.8693066,1.471267,1.495802,0.1065312,
103,0,491.047,-0.1046783,-0.7813459,-0.3986039,59.10482,-170.6202,-88.54634,93.40694,0.3140353,-0.9954398,0.3140353,-0.05233916,0.8660278,0.08532715,0.8672784,1.490691,1.510643,0.1136409,
104,0,491.072,-0.1312212,-0.7689767,-0.4039677,59.36102,-171.2063,-88.53381,93.43881,0.3397734,-0.9695482,0.3397734,-0.01978234,0.866394,0.06390381,0.8666012,1.506881,1.516848,0.1170339,
105,0,491.097,-0.1545051,-0.7643827,-0.4020255,60.07039,-172.4167,-88.53059,93.46656,0.3636945,-0.9557254,0.3636945,0,0.864563,0.03213501,0.8742447,1.524954,1.517106,0.1203313,
106,0,491.122,-0.1802258,-0.7613045,-0.3901695,60.68371,-174.3818,-88.52594,93.50806,0.3911712,-0.948326,0.3911712,0.03956468,0.8632813,0.01199341,0.8897746,1.533018,1.510902,0.1203313,
107,0,491.147,-0.2158,-0.7610474,-0.3763854,60.85717,-176.1423,-88.51,93.55147,0.4316007,-0.9450188,0.4316007,0.08392937,0.86026,0.002075195,0.8983104,1.537479,1.502329,0.1186941,
108,0,491.172,-0.2470816,-0.7607903,-0.3695653,61.2906,-177.2834,-88.50066,93.58808,0.468137,-0.9429458,0.468137,0.1282043,0.8518677,0.02033997,0.9080599,1.56373,1.494231,0.1101434,
